"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Winn, Masyn",691026,2026,5,4,0.2,0.258,-0.0579999999999999,0.4,0.349,0.051,0.318,0.255,0.063
"Schanuel, Nolan",694384,2026,5,2,0.2,0.17,0.03,0.8,0.62,0.18,0.563,0.322,0.2409999999999999
"Williams, Carson",700246,2026,5,4,0.2,0.232,-0.032,0.2,0.256,-0.0559999999999999,0.208,0.212,-0.004
"DeLauter, Chase",800050,2026,5,4,0.6,0.418,0.182,1.8,1.272,0.528,1.335,0.698,0.637
"Rice, Ben",700250,2026,5,2,0.25,0.173,0.077,0.25,0.194,0.0559999999999999,0.361,0.281,0.0799999999999999
"Bauers, Jake",641343,2026,5,3,0.4,0.18,0.22,1.0,0.419,0.581,0.772,0.254,0.518
"Bellinger, Cody",641355,2026,5,3,0.2,0.209,-0.0089999999999999,0.2,0.247,-0.0469999999999999,0.208,0.201,0.0069999999999999
"Baty, Brett",683146,2026,5,3,0.2,0.136,0.064,0.6,0.266,0.3339999999999999,0.416,0.169,0.2469999999999999
"Happ, Ian",664023,2026,5,2,0.2,0.338,-0.138,0.2,0.922,-0.722,0.208,0.524,-0.316
"Crow-Armstrong, Pete",691718,2026,5,3,0.4,0.134,0.266,0.4,0.144,0.256,0.417,0.124,0.293
"Soto, Juan",665742,2026,5,4,0.5,0.203,0.297,0.5,0.253,0.247,0.569,0.31,0.2589999999999999
"Ramírez, José",608070,2026,5,3,0.2,0.141,0.059,0.4,0.277,0.123,0.318,0.179,0.139
"Bregman, Alex",608324,2026,5,3,0.25,0.188,0.062,0.25,0.216,0.034,0.361,0.293,0.068
"Contreras, Willson",575929,2026,5,3,0.0,0.004,-0.004,0.0,0.004,-0.004,0.152,0.193,-0.041
"Robert Jr., Luis",673357,2026,5,3,0.5,0.232,0.268,0.5,0.247,0.253,0.569,0.324,0.2449999999999999
"Polanco, Jorge",593871,2026,5,2,0.333,0.278,0.0549999999999999,0.333,0.547,-0.214,0.513,0.514,-0.001
"Cruz, Oneil",665833,2026,5,2,0.2,0.192,0.008,0.2,0.206,-0.0059999999999999,0.208,0.174,0.034
"Moncada, Yoán",660162,2026,5,2,0.333,0.122,0.211,0.333,0.126,0.207,0.513,0.37,0.143
"Benge, Carson",701807,2026,5,1,0.333,0.283,0.05,1.333,0.964,0.369,0.867,0.612,0.255
"Contreras, William",661388,2026,5,3,0.333,0.246,0.087,0.667,0.276,0.391,0.587,0.361,0.2259999999999999
"Kwan, Steven",680757,2026,5,3,0.0,0.135,-0.135,0.0,0.148,-0.148,0.0,0.126,-0.126
"Greene, Riley",682985,2026,5,2,0.0,0.043,-0.043,0.0,0.046,-0.046,0.152,0.184,-0.032
"Grisham, Trent",663757,2026,5,4,0.2,0.354,-0.1539999999999999,0.6,0.878,-0.278,0.416,0.511,-0.095
"Hamilton, David",666152,2026,5,2,0.5,0.262,0.238,0.5,0.536,-0.036,0.641,0.547,0.0939999999999999
"Wood, James",695578,2026,5,1,0.0,0.011,-0.011,0.0,0.011,-0.011,0.0,0.01,-0.01
"Anthony, Roman",701350,2026,5,3,0.75,0.42,0.33,0.75,0.477,0.273,0.777,0.469,0.308
"Bichette, Bo",666182,2026,5,2,0.0,0.205,-0.205,0.0,0.22,-0.22,0.0,0.15,-0.15
"Trout, Mike",545361,2026,5,1,0.5,0.431,0.069,2.0,1.712,0.288,1.019,0.808,0.2109999999999998
"Frelick, Sal",686217,2026,5,3,0.333,0.501,-0.1679999999999999,1.333,1.402,-0.0689999999999999,0.867,0.782,0.0849999999999999
"Semien, Marcus",543760,2026,5,4,0.4,0.138,0.262,0.6,0.244,0.356,0.526,0.16,0.366
"Mullins, Cedric",656775,2026,5,5,0.0,0.148,-0.148,0.0,0.192,-0.192,0.0,0.144,-0.144
"Alvarez, Francisco",682626,2026,5,4,0.5,0.477,0.023,1.25,1.271,-0.0209999999999999,0.933,0.745,0.188
